FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
2290,Yukon-Koyukuk Census Area,Alaska,0.8366899999999999,0.839,0.7394,0.98,0.8037,Tier 1: Critical
4001,Apache County,Arizona,0.9316199999999999,0.8902,0.9284,0.9841,0.9402,Tier 1: Critical
4003,Cochise County,Arizona,0.86599,0.7121,0.9574,0.8473,0.9714,Tier 1: Critical
4005,Coconino County,Arizona,0.72298,0.8097,0.0595,0.8533,0.9917,Tier 2: High
4007,Gila County,Arizona,0.78052,0.8466,0.6131,0.7668,0.8352,Tier 1: Critical
4009,Graham County,Arizona,0.80135,0.7,0.6596,0.8702,0.9513,Tier 1: Critical
4011,Greenlee County,Arizona,0.47463,0.0974,0.6726,0.8934,0.4407,Tier 3: Moderate
4012,La Paz County,Arizona,0.80795,0.9236,0.9701,0.818,0.5775,Tier 1: Critical
4013,Maricopa County,Arizona,0.67776,0.6201,0.5705,0.8521,0.6907,Tier 2: High
4015,Mohave County,Arizona,0.76541,0.8285,0.8419,0.5994,0.762,Tier 1: Critical
4017,Navajo County,Arizona,0.9297599999999999,0.8902,0.9863,0.9103,0.9446,Tier 1: Critical
4019,Pima County,Arizona,0.83602,0.7493,0.7356,0.8711,0.9663,Tier 1: Critical
4021,Pinal County,Arizona,0.75012,0.6347,0.8374,0.833,0.7521,Tier 1: Critical
4023,Santa Cruz County,Arizona,0.8043399999999999,0.987,0.9395,0.9879,0.4092,Tier 1: Critical
4025,Yavapai County,Arizona,0.5723,0.5752,0.5488,0.546,0.6026,Tier 2: High
4027,Yuma County,Arizona,0.97553,0.9819,0.9736,0.9612,0.98,Tier 1: Critical
5001,Arkansas County,Arkansas,0.6707399999999999,0.6787,0.5078,0.6901,0.7585,Tier 2: High
5003,Ashley County,Arkansas,0.72165,0.8171,0.9262,0.6971,0.5062,Tier 2: High
5005,Baxter County,Arkansas,0.39945,0.6131,0.3618,0.2109,0.3366,Tier 3: Moderate
5007,Benton County,Arkansas,0.41161,0.182,0.5892,0.7286,0.3115,Tier 3: Moderate
5009,Boone County,Arkansas,0.29323,0.4053,0.4563,0.1508,0.1674,Tier 3: Moderate
5011,Bradley County,Arkansas,0.8166700000000001,0.8778,0.895,0.8365,0.6901,Tier 1: Critical
5013,Calhoun County,Arkansas,0.486,0.5205,0.6545,0.6487,0.2307,Tier 3: Moderate
5015,Carroll County,Arkansas,0.5981000000000001,0.6618,0.6608,0.6287,0.4722,Tier 2: High
5017,Chicot County,Arkansas,0.97285,0.98,0.9866,0.9243,0.9889,Tier 1: Critical
5019,Clark County,Arkansas,0.7425900000000001,0.6583,0.5422,0.6971,0.9908,Tier 2: High
5021,Clay County,Arkansas,0.36940999999999996,0.7168,0.5135,0.0932,0.1101,Tier 3: Moderate
5023,Cleburne County,Arkansas,0.34879,0.5406,0.4792,0.1861,0.1785,Tier 3: Moderate
5025,Cleveland County,Arkansas,0.35918,0.1782,0.6888,0.4537,0.2574,Tier 3: Moderate
5027,Columbia County,Arkansas,0.72115,0.5192,0.6596,0.7929,0.9163,Tier 2: High
5029,Conway County,Arkansas,0.63151,0.6879,0.9634,0.5218,0.427,Tier 2: High
5031,Craighead County,Arkansas,0.7588299999999999,0.7369,0.8836,0.6316,0.7824,Tier 1: Critical
5033,Crawford County,Arkansas,0.6438400000000001,0.6822,0.9532,0.5011,0.4944,Tier 2: High
5035,Crittenden County,Arkansas,0.85538,0.9345,0.8368,0.9192,0.7461,Tier 1: Critical
5037,Cross County,Arkansas,0.82599,0.9128,0.9504,0.6402,0.7801,Tier 1: Critical
5039,Dallas County,Arkansas,0.6792499999999999,0.3366,0.6179,0.8603,0.9421,Tier 2: High
5041,Desha County,Arkansas,0.8762,0.9173,0.999,0.9007,0.7369,Tier 1: Critical
5043,Drew County,Arkansas,0.7174400000000001,0.4028,0.8263,0.7245,0.9548,Tier 2: High
5045,Faulkner County,Arkansas,0.53583,0.4585,0.2071,0.5444,0.8266,Tier 2: High
5047,Franklin County,Arkansas,0.56263,0.6688,0.6678,0.3446,0.5317,Tier 2: High
5049,Fulton County,Arkansas,0.5753,0.72,0.7,0.1572,0.6262,Tier 2: High
5051,Garland County,Arkansas,0.76136,0.713,0.9723,0.5161,0.8326,Tier 1: Critical
5053,Grant County,Arkansas,0.25284,0.154,0.4588,0.2399,0.223,Tier 3: Moderate
5055,Greene County,Arkansas,0.59938,0.7932,0.6898,0.2692,0.5654,Tier 2: High
5057,Hempstead County,Arkansas,0.8006500000000001,0.748,0.9914,0.8508,0.6927,Tier 1: Critical
5059,Hot Spring County,Arkansas,0.60786,0.5278,0.4458,0.4998,0.868,Tier 2: High
5061,Howard County,Arkansas,0.73235,0.8342,0.9949,0.7521,0.4423,Tier 2: High
5063,Independence County,Arkansas,0.74015,0.7655,0.7843,0.4314,0.8912,Tier 2: High
5065,Izard County,Arkansas,0.5905,0.8043,0.3541,0.3592,0.6885,Tier 2: High
5067,Jackson County,Arkansas,0.61545,0.8667,0.4534,0.5927,0.4874,Tier 2: High
5069,Jefferson County,Arkansas,0.8686200000000001,0.7951,0.8015,0.931,0.9453,Tier 1: Critical
5071,Johnson County,Arkansas,0.7669900000000001,0.8769,0.98,0.5679,0.6478,Tier 1: Critical
5073,Lafayette County,Arkansas,0.72936,0.8622,0.6408,0.8031,0.6064,Tier 2: High
5075,Lawrence County,Arkansas,0.6053,0.763,0.7636,0.1572,0.6408,Tier 2: High
5077,Lee County,Arkansas,0.91855,0.958,0.9144,0.917,0.8829,Tier 1: Critical
5079,Lincoln County,Arkansas,0.5808800000000001,0.6058,0.1409,0.749,0.7372,Tier 2: High
5081,Little River County,Arkansas,0.4439000000000001,0.3643,0.538,0.6468,0.3255,Tier 3: Moderate
5083,Logan County,Arkansas,0.52014,0.4967,0.6802,0.335,0.5603,Tier 2: High
5085,Lonoke County,Arkansas,0.41675999999999996,0.3684,0.7063,0.4445,0.2536,Tier 3: Moderate
5087,Madison County,Arkansas,0.50231,0.6096,0.6411,0.5953,0.2405,Tier 2: High
5089,Marion County,Arkansas,0.41545999999999994,0.6726,0.5495,0.182,0.2246,Tier 3: Moderate
5091,Miller County,Arkansas,0.8500399999999999,0.908,0.7136,0.7028,0.9812,Tier 1: Critical
5093,Mississippi County,Arkansas,0.85869,0.9007,0.9456,0.8151,0.7878,Tier 1: Critical
5095,Monroe County,Arkansas,0.87706,0.9147,0.7773,0.8447,0.9275,Tier 1: Critical
5097,Montgomery County,Arkansas,0.50773,0.7455,0.8314,0.2959,0.1954,Tier 2: High
5099,Nevada County,Arkansas,0.7854899999999999,0.7913,0.8731,0.7502,0.7448,Tier 1: Critical
5101,Newton County,Arkansas,0.24728,0.4359,0.2275,0.2109,0.0961,Tier 4: Low
5103,Ouachita County,Arkansas,0.6777299999999999,0.6767,0.8912,0.8377,0.4298,Tier 2: High
5105,Perry County,Arkansas,0.44504999999999995,0.286,0.6284,0.2692,0.5991,Tier 3: Moderate
5107,Phillips County,Arkansas,0.8918699999999999,0.9526,0.9402,0.9453,0.7633,Tier 1: Critical
5109,Pike County,Arkansas,0.57157,0.4706,0.7598,0.4248,0.6449,Tier 2: High
5111,Poinsett County,Arkansas,0.6272099999999999,0.8234,0.8546,0.4273,0.4127,Tier 2: High
5113,Polk County,Arkansas,0.59474,0.7506,0.8447,0.377,0.4174,Tier 2: High
5115,Pope County,Arkansas,0.72495,0.7817,0.8727,0.489,0.727,Tier 2: High
5117,Prairie County,Arkansas,0.45406,0.4178,0.7674,0.4496,0.2844,Tier 3: Moderate
5119,Pulaski County,Arkansas,0.7367699999999999,0.6573,0.8011,0.8702,0.6844,Tier 2: High
5121,Randolph County,Arkansas,0.6061,0.7696,0.7941,0.2816,0.5336,Tier 2: High
5123,St. Francis County,Arkansas,0.93455,0.9421,0.943,0.924,0.9284,Tier 1: Critical
5125,Saline County,Arkansas,0.37382000000000004,0.1502,0.6459,0.5011,0.3312,Tier 3: Moderate
5127,Scott County,Arkansas,0.66033,0.7146,0.9001,0.4658,0.5759,Tier 2: High
